S No,Course Name,Course Certificate Type,Course Difficulty,Course Enrollment
440,"Innovation Through Design: Think, Make, Break, Repeat",COURSE,Beginner,10k
441,Innovation: From Creativity to Entrepreneurship,SPECIALIZATION,Beginner,25k
442,Inspirational Leadership: Leading with Sense,SPECIALIZATION,Beginner,72k
443,Inspired Leadership,SPECIALIZATION,Intermediate,97k
444,Inspiring and Motivating Individuals,COURSE,Mixed,85k
445,Instructional Design Foundations and Applications,COURSE,Mixed,12k
446,Instructional Methods in Health Professions Education,COURSE,Intermediate,9.7k
447,Integrative Health and Medicine,SPECIALIZATION,Beginner,14k
448,Intellectual Property Law,SPECIALIZATION,Intermediate,8.7k
449,Interaction Design,SPECIALIZATION,Intermediate,150k
450,Intercultural Management,COURSE,Beginner,6.5k
451,International Business Essentials,SPECIALIZATION,Intermediate,22k
452,International Cyber Conflicts,COURSE,Mixed,25k
453,International Humanitarian Law in Theory and Practice,COURSE,Beginner,22k
454,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,COURSE,Mixed,36k
455,International Law in Action: the Arbitration of International Disputes,COURSE,Mixed,19k
456,International Leadership and Organizational Behavior,COURSE,Mixed,41k
457,International Marketing & Cross Industry Growth,SPECIALIZATION,Beginner,26k
458,International Organizations Management,COURSE,Beginner,20k
459,International Security Management,COURSE,Beginner,2.2k
460,International Women's Health and Human Rights,COURSE,Beginner,35k
461,International migrations: a global issue,COURSE,Beginner,11k
462,Internet Connection: How to Get Online?,COURSE,Beginner,36k
463,Internet Giants: The Law and Economics of Media Platforms,COURSE,Mixed,38k
464,Interviewing and Resume Writing in English,SPECIALIZATION,Intermediate,66k
465,IntroducciÃ³n a Data Science: ProgramaciÃ³n EstadÃ­stica con R,COURSE,Beginner,140k
466,IntroducciÃ³n a la programaciÃ³n en Python I: Aprendiendo a programar con Python,COURSE,Beginner,100k
467,Introduction aux Droits de lâ€™Homme,COURSE,Mixed,46k
468,Introduction to Ableton Live,COURSE,Mixed,60k
469,Introduction to Artificial Intelligence (AI),COURSE,Beginner,44k
470,Introduction to Big Data,COURSE,Mixed,160k
471,Introduction to Blockchain Technologies,COURSE,Beginner,16k
472,Introduction to Breast Cancer,COURSE,Mixed,27k
473,Introduction to Business Analytics: Communicating with Data,COURSE,Intermediate,14k
474,Introduction to CSS3,COURSE,Mixed,84k
475,Introduction to Calculus,COURSE,Intermediate,53k
476,Introduction to Chemistry:  Reactions and Ratios,COURSE,Beginner,46k
477,Introduction to Classical Music,COURSE,Mixed,150k
478,Introduction to Cloud Computing,COURSE,Beginner,2.6k
479,Introduction to Computer Programming,COURSE,Beginner,20k
480,Introduction to Computer Science and Programming,SPECIALIZATION,Beginner,32k
481,Introduction to Corporate Finance,COURSE,Mixed,130k
482,Introduction to Cyber Attacks,COURSE,Beginner,27k
483,Introduction to Cyber Security,SPECIALIZATION,Beginner,32k
484,Introduction to Cybersecurity Tools & Cyber Attacks,COURSE,Beginner,30k
485,Introduction to Data Analysis Using Excel,COURSE,Mixed,99k
486,Introduction to Data Science,SPECIALIZATION,Beginner,310k
487,Introduction to Data Science in Python,COURSE,Intermediate,390k
488,Introduction to Dental Medicine,COURSE,Beginner,25k
489,Introduction to Discrete Mathematics for Computer Science,SPECIALIZATION,Beginner,75k
490,Introduction to Electronics,COURSE,Mixed,110k
491,Introduction to Embedded Systems Software and Development Environments,COURSE,Intermediate,41k
492,Introduction to Engineering Mechanics,COURSE,Mixed,150k
493,Introduction to Environmental Law and Policy,COURSE,Mixed,34k
494,Introduction to Financial Accounting,COURSE,Mixed,200k
495,Introduction to Forensic Science,COURSE,Mixed,47k
496,Introduction to Game Development,COURSE,Mixed,79k
497,Introduction to Genetics and Evolution,COURSE,Mixed,74k
498,Introduction to Genomic Technologies,COURSE,Mixed,42k
499,Introduction to HTML5,COURSE,Mixed,220k
500,Introduction to Imagemaking,COURSE,Beginner,54k
501,Introduction to Intellectual Property,COURSE,Beginner,6k
502,Introduction to International Criminal Law,COURSE,Mixed,82k
503,Introduction to Marketing,COURSE,Mixed,220k
504,Introduction to Mathematical Thinking,COURSE,Intermediate,270k
505,Introduction to Operations Management,COURSE,Mixed,87k
506,Introduction to Personal Branding,COURSE,Beginner,140k
507,Introduction to Philosophy,COURSE,Mixed,370k
508,Introduction to Portfolio Construction and Analysis with Python,COURSE,Mixed,11k
509,Introduction to Probability and Data,COURSE,Beginner,160k
510,Introduction to Programming in C,SPECIALIZATION,Beginner,82k
511,Introduction to Programming with MATLAB,COURSE,Beginner,270k
512,Introduction to Psychology,COURSE,Beginner,270k
513,Introduction to Scripting in Python,SPECIALIZATION,Beginner,49k
514,Introduction to Self-Driving Cars,COURSE,Advanced,39k
515,Introduction to Spreadsheets and Models,COURSE,Mixed,76k
516,Introduction to Statistics & Data Analysis in Public Health,COURSE,Beginner,12k
517,Introduction to Sustainability,COURSE,Mixed,69k
518,Introduction to Systematic Review and Meta-Analysis,COURSE,Mixed,67k
519,Introduction to Systems Engineering,COURSE,Mixed,33k
520,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",COURSE,Intermediate,150k
521,Introduction to Thermodynamics: Transferring Energy from Here to There,COURSE,Beginner,4.1k
522,"Introduction to Trading, Machine Learning & GCP",COURSE,Intermediate,13k
523,Introduction to Typography,COURSE,Beginner,72k
524,Introduction to User Experience Design,COURSE,Beginner,87k
525,Introduction to User Experience Principles and Processes,COURSE,Beginner,16k
526,Introduction to Web Development,COURSE,Beginner,76k
527,Introduction to the Biology of Cancer,COURSE,Beginner,110k
528,Introductory Human Physiology,COURSE,Mixed,270k
529,IntroduÃ§Ã£o aos PrincÃ­pios e PrÃ¡ticas da GestÃ£o De Projetos,SPECIALIZATION,Beginner,4.5k
530,IntroduÃ§Ã£o Ã  CiÃªncia da ComputaÃ§Ã£o com Python Parte 1,COURSE,Beginner,120k
531,Investment Management,SPECIALIZATION,Beginner,99k
532,Investment Management with Python and Machine Learning,SPECIALIZATION,Beginner,14k
533,Investment and Portfolio Management,SPECIALIZATION,Beginner,49k
534,Japanese for beginners 1,COURSE,Beginner,4.4k
535,Java Programming and Software Engineering Fundamentals,SPECIALIZATION,Beginner,380k
536,Java Programming: Solving Problems with Software,COURSE,Beginner,160k
537,Julia Scientific Programming,COURSE,Beginner,22k
538,Kotlin for Java Developers,COURSE,Intermediate,37k
539,L'excellence opÃ©rationnelle en pratique,COURSE,Beginner,8k
540,"L'impact investing, la finance qui change le monde",SPECIALIZATION,Beginner,6.3k
541,Leadership Development for Engineers,SPECIALIZATION,Beginner,17k
542,Leadership in 21st Century Organizations,COURSE,Mixed,34k
543,Leading Healthcare Quality and Safety,COURSE,Beginner,16k
544,Leading People and Teams,SPECIALIZATION,Beginner,220k
545,"Leading for Equity, Diversity and Inclusion in Higher Education",COURSE,Intermediate,5.9k
546,Leading: Human Resource Management and Leadership,SPECIALIZATION,Intermediate,16k
547,Learn Chinese: HSK Test Preparation,SPECIALIZATION,Beginner,43k
548,Learn English,SPECIALIZATION,Beginner,22k
549,Learn English: Advanced Academic Speaking and Listening,SPECIALIZATION,Intermediate,78k
550,Learn English: Advanced Grammar and Punctuation,SPECIALIZATION,Advanced,52k
551,Learn English: Intermediate Grammar,SPECIALIZATION,Intermediate,120k
552,Learn Mandarin Chinese,SPECIALIZATION,Beginner,39k
553,Learn SQL Basics for Data Science,SPECIALIZATION,Beginner,160k
554,Learn Spanish: Basic Spanish Vocabulary,SPECIALIZATION,Beginner,80k
555,Learn to Program: The Fundamentals,COURSE,Beginner,180k
556,Learn to Speak Korean 1,COURSE,Beginner,120k
557,Learning to Teach Online,COURSE,Beginner,68k
558,Legal Tech & Startups,COURSE,Intermediate,7.2k
559,Les Fondamentaux de la NÃ©gociation,COURSE,Beginner,10k
560,Liderazgo efectivo para el siglo XXI,SPECIALIZATION,Intermediate,23k
561,Linear Circuits 1: DC Analysis,COURSE,Mixed,29k
562,Love as a Force for Social Justice,COURSE,Beginner,14k
563,Machine Learning,SPECIALIZATION,Intermediate,290k
564,Machine Learning,COURSE,Mixed,3.2m
565,Machine Learning Foundations: A Case Study Approach,COURSE,Mixed,240k
566,Machine Learning and Reinforcement Learning in Finance,SPECIALIZATION,Intermediate,29k
567,Machine Learning for All,COURSE,Beginner,19k
568,Machine Learning for Business Professionals,COURSE,Intermediate,58k
569,Machine Learning for Trading,SPECIALIZATION,Intermediate,15k
570,Machine Learning with Python,COURSE,Intermediate,120k
571,Machine Learning with TensorFlow on Google Cloud Platform,SPECIALIZATION,Intermediate,72k
572,Magic in the Middle Ages,COURSE,Beginner,78k
573,Making Architecture,COURSE,Beginner,43k
574,Management of Fashion and Luxury Companies,COURSE,Mixed,120k
575,Managerial Accounting Fundamentals,COURSE,Beginner,11k
576,Managerial Economics and Business Analysis,SPECIALIZATION,Beginner,55k
577,Managing Innovation and Design Thinking,SPECIALIZATION,Beginner,23k
578,Managing Project Risks and Changes,COURSE,Mixed,71k
579,Managing Social and Human Capital,COURSE,Beginner,27k
580,Managing Your Health: The Role of Physical Therapy and Exercise,COURSE,Beginner,47k
581,Market Research,SPECIALIZATION,Beginner,22k
582,Marketing Digital,COURSE,Beginner,81k
583,Marketing Digital,SPECIALIZATION,Beginner,39k
584,Marketing Gerencial,COURSE,Intermediate,49k
585,Marketing Mix Implementation,SPECIALIZATION,Beginner,93k
586,Marketing Strategy,SPECIALIZATION,Beginner,57k
587,Marketing Verde,COURSE,Mixed,58k
588,Marketing con Redes Sociales,SPECIALIZATION,Intermediate,60k
589,Marketing in a Digital World,COURSE,Beginner,310k
590,Mastering Data Analysis in Excel,COURSE,Mixed,280k
591,Mastering Final Cut Pro,COURSE,Beginner,8.4k
592,Mastering Software Development in R,SPECIALIZATION,Beginner,52k
593,Materials Science: 10 Things Every Engineer Should Know,COURSE,Mixed,48k
594,Mathematics for Data Science,SPECIALIZATION,Beginner,12k
595,Mathematics for Machine Learning,SPECIALIZATION,Beginner,150k
596,Mathematics for Machine Learning: Linear Algebra,COURSE,Beginner,140k
597,Mathematics for Machine Learning: Multivariate Calculus,COURSE,Beginner,51k
598,Mathematics for Machine Learning: PCA,COURSE,Intermediate,33k
599,Medical Cannabis: The Health Effects of THC and CBD,SPECIALIZATION,Beginner,4.8k
600,Medical Neuroscience,COURSE,Advanced,170k
601,Memoir and Personal Essay: Write About Yourself,SPECIALIZATION,Beginner,13k
602,Methods and Statistics in Social Sciences,SPECIALIZATION,Beginner,260k
603,Microeconomics Principles,COURSE,Beginner,73k
604,Microeconomics: The Power of Markets,COURSE,Mixed,34k
605,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,COURSE,Beginner,230k
606,Miracles of Human Language: An Introduction to Linguistics,COURSE,Beginner,120k
607,Model Thinking,COURSE,Mixed,130k
608,Modeling Risk and Realities,COURSE,Mixed,36k
609,Modern Art & Ideas,COURSE,Beginner,310k
610,Modern Big Data Analysis with SQL,SPECIALIZATION,Beginner,14k
611,"Modern Robotics:  Mechanics, Planning, and Control",SPECIALIZATION,Intermediate,21k
612,Modernizing Data Lakes and Data Warehouses with GCP,COURSE,Intermediate,9.1k
613,Moral Foundations of Politics,COURSE,Mixed,100k
614,More Introduction to Financial Accounting,COURSE,Mixed,40k
615,Mountains 101,COURSE,Mixed,44k
616,Municipal Solid Waste Management in Developing Countries,COURSE,Intermediate,59k
617,Music Business,SPECIALIZATION,Beginner,42k
618,Music Business Foundations,COURSE,Mixed,34k
619,Music Production,SPECIALIZATION,Beginner,70k
620,Nanotechnology: A Makerâ€™s Course,COURSE,Mixed,21k
621,Natural Language Processing in TensorFlow,COURSE,Intermediate,40k
622,NegociaciÃ³n exitosa: Estrategias y habilidades esenciales (en espaÃ±ol),COURSE,Mixed,95k
623,"Negotiation, Mediation and Conflict Resolution",SPECIALIZATION,Beginner,22k
624,Networking and Security Architecture with VMware NSX,COURSE,Intermediate,17k
625,Networking in Google Cloud,SPECIALIZATION,Intermediate,290k
626,Neural Networks and Deep Learning,COURSE,Intermediate,630k
627,Neurolinguistics,COURSE,Mixed,41k
628,New Approaches to Countering Terror: Countering Violent Extremism,COURSE,Beginner,12k
629,Newborn Baby Care,SPECIALIZATION,Beginner,5.3k
630,NutriciÃ³n y obesidad: control de sobrepeso,COURSE,Beginner,100k
631,Nutrition and Lifestyle in Pregnancy,COURSE,Intermediate,35k
632,Object Oriented Java Programming: Data Structures and Beyond,SPECIALIZATION,Intermediate,250k
633,Object Oriented Programming in Java,SPECIALIZATION,Beginner,330k
634,Object-Oriented Data Structures in C++,COURSE,Intermediate,21k
635,Object-Oriented Design,COURSE,Intermediate,33k
636,Oil & Gas Industry Operations and Markets,COURSE,Mixed,57k
637,"Open Source Software Development, Linux and Git",SPECIALIZATION,Beginner,13k
638,Operating Systems and You: Becoming a Power User,COURSE,Beginner,76k
639,Operations Analytics,COURSE,Mixed,80k
640,Optical Engineering,SPECIALIZATION,Advanced,6.2k
641,Organizational Leadership,SPECIALIZATION,Intermediate,92k
642,Osteoarchaeology: The Truth in Our Bones,COURSE,Beginner,22k
643,Palliative Care: It's Not Just Hospice Anymore,SPECIALIZATION,Beginner,3.2k
644,Palo Alto Networks Cybersecurity,SPECIALIZATION,Beginner,9.1k
645,"Parallel, Concurrent, and Distributed Programming in Java",SPECIALIZATION,Intermediate,30k
646,Particle Physics: an Introduction,COURSE,Mixed,42k
647,Patient Safety,SPECIALIZATION,Beginner,8.8k
648,Patrocinio Deportivo,COURSE,Beginner,12k
649,People Analytics,COURSE,Mixed,84k
650,Perfect Tenses and Modals,COURSE,Intermediate,79k
651,Periodismo digital y combate a las fake news,COURSE,Beginner,8.9k
652,Photography Basics and Beyond: From Smartphone to DSLR,SPECIALIZATION,Beginner,160k
653,Plant Bioinformatic Methods,SPECIALIZATION,Beginner,83k
654,Politics and Economics of International Energy,COURSE,Beginner,34k
655,Positive Psychiatry and Mental Health,COURSE,Mixed,72k
656,Positive Psychology,COURSE,Mixed,180k
657,Positive Psychology: Applications and Interventions,COURSE,Beginner,23k
658,Positive Psychology: Martin E. P. Seligmanâ€™s Visionary Science,COURSE,Beginner,50k
659,Positive Psychology: Resilience Skills,COURSE,Beginner,40k
660,Power Electronics,SPECIALIZATION,Intermediate,67k
661,Practical Data Science with MATLAB,SPECIALIZATION,Beginner,10k
662,Practical Time Series Analysis,COURSE,Intermediate,39k
663,Preparing for the Google Cloud Associate Cloud Engineer Exam,COURSE,Beginner,22k
664,Preparing to Manage Human Resources,COURSE,Mixed,68k
665,"Presentation Skills: Speechwriting, Slides and Delivery",SPECIALIZATION,Beginner,47k
666,Pricing Strategy Optimization,SPECIALIZATION,Beginner,20k
667,Primeros Auxilios PsicolÃ³gicos (PAP),COURSE,Mixed,280k
668,Private Equity and Venture Capital,COURSE,Mixed,79k
669,Probabilistic Graphical Models 1: Representation,COURSE,Advanced,68k
670,Probability and Statistics: To p or not to p?,COURSE,Beginner,36k
671,Process Mining: Data science in Action,COURSE,Intermediate,39k
672,"Programming Foundations with JavaScript, HTML and CSS",COURSE,Beginner,250k
673,Programming Fundamentals,COURSE,Beginner,19k
674,Programming for Everybody (Getting Started with Python),COURSE,Mixed,1.3m
675,Programming with Google Go,SPECIALIZATION,Intermediate,18k
676,Project Execution,COURSE,Beginner,70k
677,Project Launch,COURSE,Beginner,190k
678,Project Management & Other Tools for Career Development,SPECIALIZATION,Beginner,440k
679,Project Management Principles and Practices,SPECIALIZATION,Beginner,230k
680,Psychological First Aid,COURSE,Mixed,190k
681,Public Policy Challenges of the 21st Century,COURSE,Beginner,52k
682,Python Basics,COURSE,Beginner,110k
683,Python Classes and Inheritance,COURSE,Intermediate,21k
684,Python Data Structures,COURSE,Mixed,420k
685,"Python Functions, Files, and Dictionaries",COURSE,Beginner,26k
686,Python and Statistics for Financial Analysis,COURSE,Intermediate,41k
687,Python for Data Science and AI,COURSE,Beginner,170k
688,Python for Everybody,SPECIALIZATION,Beginner,1.5m
689,Quantitative Methods,COURSE,Mixed,69k
690,Queering Identities: LGBTQ+ Sexuality and Gender Identity,COURSE,Beginner,3k
691,R Programming,COURSE,Intermediate,480k
692,"Ready, Set, Future! Introduction to Futures Thinking",COURSE,Beginner,7.7k
693,Recommender Systems,SPECIALIZATION,Intermediate,29k
694,"Recruiting, Hiring, and Onboarding Employees",COURSE,Mixed,35k
695,Reinforcement Learning,SPECIALIZATION,Intermediate,23k
696,Renewable Energy and Green Building Entrepreneurship,COURSE,Beginner,24k
697,Reporting extra-financier et stratÃ©gie RSE,COURSE,Beginner,5.2k
698,Requirements Engineering: Secure Software  Specifications,SPECIALIZATION,Beginner,7.2k
699,Research Data Management and Sharing,COURSE,Mixed,16k
700,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",COURSE,Mixed,15k
701,Responsive Website Development and Design,SPECIALIZATION,Beginner,170k
702,Rethinking International Tax Law,COURSE,Mixed,36k
703,RevisÃ£o SistemÃ¡tica e Meta-anÃ¡lise,COURSE,Intermediate,17k
704,Robotics,SPECIALIZATION,Beginner,120k
705,Roman Architecture,COURSE,Beginner,30k
706,Russian Alphabet,COURSE,Beginner,3.2k
707,Russian for beginners Ð1. Ð ÑƒÑÑÐºÐ¸Ð¹ ÑÐ·Ñ‹Ðº: A1,SPECIALIZATION,Beginner,7k
708,RÃ©ussir le Changement,COURSE,Mixed,33k
709,SAS Programmer,PROFESSIONAL CERTIFICATE,Beginner,370k
710,SAS Visual Business Analytics,PROFESSIONAL CERTIFICATE,Beginner,2.6k
711,SQL for Data Science,COURSE,Beginner,160k
712,Sales Operations/Management,SPECIALIZATION,Beginner,5.6k
713,Sales Training for High Performing Teams,SPECIALIZATION,Beginner,16k
714,Sample-based Learning Methods,COURSE,Intermediate,6.8k
715,Scaling Operations: Linking Strategy and Execution,COURSE,Mixed,12k
716,School Health for Children and Adolescents,SPECIALIZATION,Beginner,9.1k
717,Science of Exercise,COURSE,Beginner,140k
718,Search Engine Optimization Fundamentals,COURSE,Mixed,47k
719,Secure Coding Practices,SPECIALIZATION,Intermediate,6.4k
720,Security & Safety Challenges in a Globalized World,COURSE,Beginner,14k
721,Security in Google Cloud Platform,SPECIALIZATION,Intermediate,300k
722,Self-Driving Cars,SPECIALIZATION,Advanced,39k
723,Sequence Models,COURSE,Intermediate,14k
724,Sexualidad...mucho mÃ¡s que sexo,COURSE,Beginner,110k
725,Sharpened Visions: A Poetry Workshop,COURSE,Beginner,61k
726,Site Reliability Engineering: Measuring and Managing Reliability,COURSE,Advanced,16k
727,Six Sigma Green Belt,SPECIALIZATION,Intermediate,18k
728,Six Sigma and the Organization (Advanced),COURSE,Intermediate,15k
729,"Sleep: Neurobiology, Medicine, and Society",COURSE,Beginner,20k
730,Smart Cities â€“ Management of Smart Urban Infrastructures,COURSE,Beginner,22k
731,Social Entrepreneurship,SPECIALIZATION,Beginner,13k
732,Social Media Marketing,SPECIALIZATION,Beginner,130k
733,"Social Norms, Social Change I",COURSE,Beginner,78k
734,Social Policy for Social Services & Health Practitioners,SPECIALIZATION,Beginner,4.2k
735,Social Psychology,COURSE,Beginner,220k
736,Social and Economic Networks:  Models and Analysis,COURSE,Advanced,42k
737,Software Design and Architecture,SPECIALIZATION,Beginner,60k
738,Software Development Lifecycle,SPECIALIZATION,Intermediate,34k
739,Software Processes and Agile Practices,COURSE,Mixed,60k
740,Software Product Management,SPECIALIZATION,Beginner,110k
741,Solar Energy Basics,COURSE,Beginner,17k
742,Songwriting: Writing the Lyrics,COURSE,Beginner,68k
743,Soporte de TecnologÃ­as de la InformaciÃ³n de Google,PROFESSIONAL CERTIFICATE,Beginner,8.8k
744,Spacecraft Dynamics and Control,SPECIALIZATION,Advanced,12k
745,Spanish Vocabulary: Meeting People,COURSE,Beginner,71k
746,"Speak English Professionally: In Person, Online & On the Phone",COURSE,Mixed,430k
747,Sports Marketing,COURSE,Intermediate,12k
748,Sports and Society,COURSE,Mixed,16k
749,Stanford Introduction to Food and Health,COURSE,Beginner,370k
750,Stanford's Short Course on Breastfeeding,COURSE,Beginner,17k
751,Statistical Analysis with R for Public Health,SPECIALIZATION,Beginner,16k
752,Statistics with Python,SPECIALIZATION,Beginner,34k
753,Statistics with R,SPECIALIZATION,Beginner,220k
754,Stories of Infection,COURSE,Intermediate,28k
755,Strategic Business Analytics,SPECIALIZATION,Advanced,60k
756,Strategic Business Management - Microeconomics,COURSE,Beginner,9.5k
757,Strategic Leadership and Management,SPECIALIZATION,Beginner,100k
758,Strategic Management,COURSE,Mixed,58k
759,Strategic Management and Innovation,SPECIALIZATION,Beginner,68k
760,Strategic Sales Management,SPECIALIZATION,Intermediate,9.2k
761,Strategising: Management for Global Competitive Advantage,SPECIALIZATION,Intermediate,30k
762,Strategy and Sustainability,COURSE,Beginner,11k
763,Structuring Machine Learning Projects,COURSE,Beginner,220k
764,Success,COURSE,Beginner,38k
765,Successful Negotiation: Essential Strategies and Skills,COURSE,Mixed,750k
766,Summary Statistics in Public Health,COURSE,Beginner,11k
767,Supply Chain Analytics,COURSE,Beginner,7.9k
768,Supply Chain Finance and Blockchain Technology,SPECIALIZATION,Intermediate,4.9k
769,Supply Chain Logistics,COURSE,Beginner,66k
770,Supply Chain Management,SPECIALIZATION,Beginner,82k
771,Supply Chain Operations,COURSE,Beginner,24k
772,Supply Chain Principles,COURSE,Mixed,29k
773,Supporting children with difficulties in reading and writing,COURSE,Mixed,50k
774,Survey Data Collection and Analytics,SPECIALIZATION,Beginner,45k
775,Sustainable Tourism â€“ promoting environmental public health,COURSE,Beginner,9.4k
776,Swift 5 iOS Application Developer,SPECIALIZATION,Beginner,3.9k
777,System Administration and IT Infrastructure Services,COURSE,Beginner,62k
778,Systems Biology and Biotechnology,SPECIALIZATION,Intermediate,48k
779,Systems Thinking In Public Health,COURSE,Mixed,33k
780,"TESOL Certificate, Part 1: Teach English Now!",SPECIALIZATION,Beginner,100k
781,"TESOL Certificate, Part 2: Teach English Now!",SPECIALIZATION,Beginner,62k
782,Teach English Now! Foundational Principles,COURSE,Mixed,81k
783,Teach English Now! Teaching Language Online,COURSE,Intermediate,8.5k
784,Teaching Character and Creating Positive Classrooms,COURSE,Mixed,53k
785,Teamwork Skills: Communicating Effectively in Groups,COURSE,Beginner,49k
786,Technical Support Fundamentals,COURSE,Beginner,280k
787,TensorFlow in Practice,SPECIALIZATION,Intermediate,170k
788,TensorFlow: Data and Deployment,SPECIALIZATION,Intermediate,12k
789,Terrorism and Counterterrorism: Comparing Theory and Practice,COURSE,Beginner,90k
790,The Addicted Brain,COURSE,Beginner,130k
791,The Art of Music Production,COURSE,Intermediate,47k
792,The Art of Sales: Mastering the Selling Process,SPECIALIZATION,Beginner,23k
793,The Arts and Science of Relationships: Understanding Human Needs,COURSE,Beginner,73k
794,The Bits and Bytes of Computer Networking,COURSE,Beginner,130k
795,The Business of Health Care,SPECIALIZATION,Beginner,22k
796,The Business of Music Production,SPECIALIZATION,Beginner,84k
797,The Changing Global Order,COURSE,Intermediate,23k
798,The Cycle: Management of Successful Arts and Cultural Organizations,COURSE,Beginner,11k
799,The DIY Musician,SPECIALIZATION,Beginner,120k
800,The Data Scientistâ€™s Toolbox,COURSE,Mixed,420k
801,The Economics of Health Care Delivery,COURSE,Mixed,7.2k
802,The Global Financial Crisis,COURSE,Mixed,84k
803,The Horse Course: Introduction to Basic Care and Management,COURSE,Mixed,29k
804,The Manager's Toolkit: A Practical Guide to Managing People at Work,COURSE,Mixed,47k
805,"The Modern World, Part One: Global History from 1760 to 1910",COURSE,Beginner,130k
806,"The Modern World, Part Two: Global History since 1910",COURSE,Beginner,47k
807,The Oral Cavity: Portal to Health and Disease,COURSE,Intermediate,9.4k
808,The Power of Macroeconomics: Economic Principles in the Real World,COURSE,Mixed,180k
809,The Power of Microeconomics: Economic Principles in the Real World,COURSE,Mixed,120k
810,The Pronunciation of American English,SPECIALIZATION,Beginner,1.7k
811,The Science of Gastronomy,COURSE,Mixed,50k
812,The Science of Stem Cells,COURSE,Intermediate,12k
813,The Science of Success: What Researchers Know that You Should Know,COURSE,Beginner,59k
814,The Science of Training Young Athletes,COURSE,Beginner,13k
815,The Science of Well-Being,COURSE,Mixed,2.5m
816,The Singer Songwriter,SPECIALIZATION,Beginner,320k
817,The Social Context of Mental Health and Illness,COURSE,Mixed,19k
818,The Strategy of Content Marketing,COURSE,Intermediate,100k
819,"The Sustainable Development Goals â€“ A global, transdisciplinary vision for the future",COURSE,Beginner,26k
820,The Teacher and Social and Emotional Learning (SEL),SPECIALIZATION,Beginner,5.2k
821,The Technology of Music Production,COURSE,Beginner,28k
822,The Truth About Cats and Dogs,COURSE,Mixed,33k
823,The hidden value â€“ Lean in manufacturing and services,COURSE,Beginner,14k
824,Think Again I: How to Understand Arguments,COURSE,Beginner,200k
825,Tools for Data Science,COURSE,Beginner,120k
826,Trading Strategies in Emerging Markets,SPECIALIZATION,Beginner,68k
827,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",COURSE,Mixed,45k
828,Tricky American English Pronunciation,COURSE,Beginner,110k
829,Troubles du spectre de l'autisme : diagnostic,COURSE,Intermediate,5.4k
830,U.S. Federal Taxation,SPECIALIZATION,Intermediate,12k
831,UCI Project Management,PROFESSIONAL CERTIFICATE,Beginner,44k
832,UI / UX Design,SPECIALIZATION,Beginner,68k
833,UX Design Fundamentals,COURSE,Beginner,25k
834,Understanding Cancer Metastasis,COURSE,Beginner,29k
835,Understanding Clinical Research: Behind the Statistics,COURSE,Mixed,78k
836,Understanding Einstein: The Special Theory of Relativity,COURSE,Beginner,89k
837,Understanding Medical Research: Your Facebook Friend is Wrong,COURSE,Beginner,24k
838,Understanding Modern Finance,SPECIALIZATION,Intermediate,11k
839,Understanding Plants - Part I: What a Plant Knows,COURSE,Beginner,49k
840,Understanding Research Methods,COURSE,Mixed,120k
841,Understanding and Visualizing Data with Python,COURSE,Beginner,30k
842,Understanding the Brain: The Neurobiology of Everyday Life,COURSE,Beginner,130k
843,Unity Certified Programmer Exam Preparation,SPECIALIZATION,Intermediate,6.1k
844,Unity XR: How to Build AR and VR Apps,SPECIALIZATION,Beginner,12k
845,University Teaching,COURSE,Beginner,9.5k
846,Unraveling the Cycling City,COURSE,Intermediate,3.9k
847,User Experience Research and Design,SPECIALIZATION,Beginner,23k
848,User Interface Design,SPECIALIZATION,Intermediate,43k
849,Using Databases with Python,COURSE,Mixed,220k
850,Using Python to Access Web Data,COURSE,Mixed,310k
851,Using Python to Interact with the Operating System,COURSE,Beginner,19k
852,Value Chain Management,SPECIALIZATION,Intermediate,63k
853,Version Control with Git,COURSE,Mixed,40k
854,Viral Marketing and How to Craft Contagious Content,COURSE,Mixed,150k
855,Virtual Reality,SPECIALIZATION,Beginner,37k
856,Virtual Teacher,SPECIALIZATION,Beginner,23k
857,Vital Signs: Understanding What the Body Is Telling Us,COURSE,Mixed,190k
858,Web Applications for Everybody,SPECIALIZATION,Intermediate,120k
859,Web Design for Everybody: Basics of Web Development & Coding,SPECIALIZATION,Beginner,280k
860,Weight Management: Beyond Balancing Calories,COURSE,Beginner,34k
861,What Is Contemporary Art?,COURSE,Beginner,120k
862,What future for education?,COURSE,Mixed,35k
863,What is Compliance?,COURSE,Mixed,6.2k
864,What is Data Science?,COURSE,Beginner,260k
865,What is Social?,COURSE,Mixed,94k
866,Wine Tasting: Sensory Techniques for Wine Analysis,COURSE,Beginner,32k
867,Wonders of Ancient Egypt,COURSE,Intermediate,17k
868,Write A Feature Length Screenplay For Film Or Television,COURSE,Beginner,12k
869,Write Professional Emails in English,COURSE,Mixed,270k
870,Write Your First Novel,COURSE,Beginner,18k
871,Writing in the Sciences,COURSE,Beginner,140k
872,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,COURSE,Mixed,17k
